NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
504,10,25720805,3081,9417,0
527,11,26413148,2443,9980,0
709,29,35178284,2242,13468,0
700,25,34998782,2955,13146,0
527,20,25652791,2657,9845,0
676,21,33945760,2105,12905,0
656,23,32857656,2793,12478,0
703,27,36069388,2460,13508,0
508,25,25588470,2471,9669,0
721,13,37595187,3039,13646,0
713,22,35408666,1819,13529,0
615,13,31406856,2472,11784,0
721,11,36005179,2219,13703,0
537,11,27847942,2218,10188,0
663,21,33077634,2536,12632,0
581,30,29609437,2839,10896,0
571,18,28260829,2698,10776,0
714,25,35005295,2540,13809,0
600,30,30917957,2775,11189,0
789,15,39422073,2454,14940,0
570,23,28254352,3210,10909,0
582,28,29370301,2102,10928,0
711,23,36173774,2064,13438,0
654,10,33101443,2711,12398,0
711,12,35908634,2648,13558,0
547,13,28382748,2072,10583,0
646,12,32406925,2863,12336,0
590,17,29525230,2535,11229,0
701,13,35609677,2493,13364,0
701,26,36417237,2214,13259,0
757,22,38117375,2870,14441,0
786,29,38877247,2614,14871,0
551,23,27835978,2387,10623,0
712,17,36158659,2577,13572,0
714,29,34779708,2851,13322,0
775,21,39129576,3479,14727,0
567,28,29283023,2225,10715,0
560,19,28480958,2696,10595,0
635,17,30019311,2055,12168,0
635,25,31469425,2364,12152,0
573,15,29652580,3073,10657,0
768,28,39251665,3093,14613,0
782,11,39527499,2840,14407,0
690,22,35859359,2413,13076,0
790,15,38946616,2404,15086,0
519,19,25337978,2033,9857,0
518,16,27179910,2649,9940,0
744,28,37447066,2386,14105,0
548,28,26917874,2506,10437,0
743,16,37537947,2270,14249,0
630,18,31929978,2586,11992,0
773,19,38122327,2394,14628,0
675,29,33306789,2581,12819,0
696,22,35032859,2277,13363,0
762,10,37778790,2234,14522,0
734,28,35780287,2143,13790,0
575,23,27327686,2295,11031,0
738,27,37202717,2422,13961,0
754,18,36816688,2665,14248,0
719,16,36987309,2832,13560,0
521,18,25716536,2293,9793,0
795,19,39744087,2974,15080,0
591,12,29532793,2862,11206,0
567,20,28004690,2717,10795,0
660,21,33214234,2165,12486,0
650,13,31626127,2535,12377,0
673,25,32521349,2399,12726,0
667,25,33038308,2300,12508,0
697,16,34609818,2566,13317,0
659,24,32290987,2402,12421,0
527,16,26923451,2549,10259,0
646,20,31657466,1970,12403,0
719,30,35344877,2437,13485,0
769,22,38520548,2803,14656,0
505,23,23984210,2548,9547,0
663,29,32623203,2712,12650,0
632,17,30524966,2385,12084,0
689,10,34975396,3163,13138,0
552,15,27775294,2720,10423,0
668,24,34139299,2980,12505,0
555,11,26930151,2468,10414,0
587,13,28944522,2505,11150,0
532,26,26087709,2163,10058,0
634,10,32286354,2855,12012,0
532,17,26743501,2615,9944,0
623,22,31280786,2431,12024,0
612,11,30169336,2487,11499,0
743,22,37084395,2467,13959,0
727,15,36717794,2555,13681,0
602,17,29821693,2500,11495,0
607,10,30415639,1927,11419,0
701,10,36315548,2837,13301,0
663,14,31935688,3016,12689,0
630,27,30647652,2775,12009,0
574,27,28599278,2864,10824,0
722,14,35881055,2856,13808,0
654,13,33077637,2354,12332,0
676,28,33194359,2297,13016,0
767,27,38265715,2239,14525,0
690,28,34436422,2656,13220,0
771,19,39355365,2364,14668,0
705,27,35965745,2355,13545,0
612,24,30029715,2168,11651,0
766,11,39036794,2381,14457,0
798,30,40457274,2897,14948,0
703,29,34383429,2064,13315,0
752,27,38849680,2657,14203,0
648,29,32491759,2612,12337,0
635,16,30342242,2214,11979,0
579,12,28045834,2984,10985,0
559,28,27938253,2781,10492,0
613,19,31309570,1982,11689,0
634,17,32109670,2279,11917,0
629,20,30881553,2328,11902,0
740,26,36515632,2791,14098,0
532,22,27172421,2066,10116,0
504,29,24816065,1728,9546,0
708,18,34464595,2984,13505,0
730,23,36108696,2678,13796,0
515,15,26073729,2336,9862,0
701,29,35240021,2688,13272,0
648,26,32857837,2232,12287,0
712,28,35043496,2186,13355,0
628,12,30257869,2275,11831,0
588,17,30323737,3104,11309,0
638,16,32809602,2309,12226,0
525,19,26606932,2509,10038,0
681,19,33380252,3188,12740,0
528,27,25827888,2448,10109,0
542,14,27655753,2476,10318,0
594,27,30248664,2532,11198,0
673,12,33868923,1536,12696,0
681,20,33260746,1963,13006,0
528,17,26702144,2266,10116,0
599,26,29340389,1855,11313,0
656,15,33133490,2849,12354,0
732,11,35125316,2610,13777,0
522,25,25317172,2109,9926,0
588,23,28898972,2261,11127,0
521,10,25392723,1952,9968,0
603,20,30375641,2027,11332,0
661,11,32512196,2626,12429,0
673,30,33157176,2160,12575,0
557,24,27457218,2155,10602,0
558,20,27618677,1916,10361,0
750,20,37214426,2753,14439,0
654,25,32766248,2198,12462,0
552,12,27519928,2028,10391,0
632,21,31870367,2360,12121,0
575,29,28736661,1800,10985,0
688,13,34637184,3109,12986,0
771,10,37311369,2879,14841,0
712,26,34919649,2580,13547,0
672,28,34032715,2403,12640,0
601,25,29098278,3345,11475,0
631,29,31586968,2561,11812,0
720,20,34437779,2277,13457,0
560,27,27346578,2571,10635,0
800,21,39514585,2779,14906,0
655,11,30872921,2339,12617,0
657,23,33076695,2446,12373,0
701,24,34857258,2358,13421,0
723,24,35193247,1897,13651,0
752,27,38834348,2576,14355,0
539,20,26960315,2849,10398,0
798,15,39292280,2311,14999,0
775,22,38373302,2338,14647,0
535,26,27271748,3059,10087,0
629,25,32015962,2224,11916,0
505,19,25449892,2225,9547,0
585,30,28021075,2999,11293,0
591,24,29828971,2731,11211,0
647,20,33471256,2565,12346,0
562,17,28229486,2501,10762,0
703,21,35415392,1991,13103,0
645,10,33487409,2771,12109,0
576,10,29296167,2104,10996,0
800,24,40610754,2693,15183,0
597,23,29531636,3420,11367,0
637,28,32543961,2520,12044,0
567,28,28190785,2656,10479,0
719,21,36064335,2870,13628,0
657,23,33810023,2484,12414,0
534,11,27075603,3372,10199,0
651,23,32738461,2208,12375,0
706,13,34325390,2520,13289,0
726,21,36054638,2601,13723,0
535,23,27277391,2621,10175,0
619,11,30404033,2855,11739,0
761,18,37780770,2210,14272,0
725,18,36351504,3012,13671,0
584,12,29276241,2254,10981,0
537,10,27001374,2218,10269,0
517,16,26030011,2894,9691,0
