NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
720,16,35243650,2531,13916,2
592,18,30076227,1787,11140,2
786,14,39501287,2519,14847,0
681,26,34121286,2492,12995,0
775,30,38803591,2017,14640,0
598,20,30389760,1799,11386,2
657,18,32993189,2764,12403,0
573,21,28800579,2320,10806,2
540,28,26415831,2408,10340,0
686,26,33292740,2145,13006,5
615,19,30487239,2421,11774,0
686,10,33504674,2491,12874,0
592,25,28862393,2679,11214,2
558,19,27863529,2579,10680,0
609,28,29545150,2544,11431,0
649,21,33128567,2749,12293,4
684,26,34183921,2919,13023,1
676,10,33390398,2593,12874,0
576,29,28608903,1985,10958,1
684,28,33414681,2068,13094,2
724,18,36193845,2303,13760,1
779,14,38960158,2895,14892,0
787,10,39777884,1501,14926,0
652,10,33680117,2771,12500,5
732,24,36937491,2137,13774,0
686,22,34727569,2719,13019,2
780,22,40066037,2674,14964,5
546,27,27294923,2347,10404,5
747,23,37601466,2675,14253,4
539,19,26276220,2703,10171,0
646,23,32080853,2482,12154,1
514,26,26509471,1914,9654,0
714,20,35248407,2345,13568,0
671,28,32535278,2859,12841,1
653,11,32760226,2207,12351,1
536,21,28541888,1900,10295,0
592,17,29793572,2369,11275,1
677,19,33881444,2789,12849,1
621,14,31073660,2148,11928,2
534,21,26503992,2324,10260,0
795,22,37737941,2776,14966,2
568,10,28422368,2304,10708,2
618,25,32809517,2647,11803,1
792,16,39939884,2707,14844,2
794,15,41306991,3087,14826,2
765,23,39876987,2613,14625,1
569,10,28991006,2271,10798,3
565,29,28272256,2683,10795,1
743,15,37995809,2965,14198,0
632,26,32234237,2608,12011,2
794,24,40367302,2445,14955,0
587,16,29565207,2759,11040,0
645,21,32411869,3159,12067,0
741,15,35970059,2141,14081,2
587,14,30212182,2066,11347,0
651,12,34652691,2291,12213,4
734,22,35837023,2326,13926,0
515,28,26467383,2200,9760,2
589,17,29106548,2558,11038,0
601,28,30558237,2226,11370,0
572,13,28623322,1657,11149,5
642,13,33648573,2913,12120,1
725,12,35683557,2552,13746,1
548,10,27791218,1282,10242,1
548,20,27991698,2617,10339,1
641,27,32340262,2822,12169,0
541,25,27444457,2676,10179,0
719,22,36743904,2249,13688,1
706,24,34912273,2612,13407,0
696,29,36104176,2462,13262,1
625,10,31169537,2821,11715,2
549,29,27003005,2594,10243,2
768,16,37789837,2035,14579,2
604,14,30200909,2281,11620,2
709,29,36915587,2588,13501,0
762,22,39012508,2140,14524,0
633,14,32170343,1988,12118,3
693,17,33643546,2106,12979,2
761,17,38580178,2982,14508,0
656,27,31812100,2523,12399,0
584,13,27999097,3001,10984,1
553,28,27572878,2265,10325,0
545,23,27641927,2788,10405,2
734,22,36555562,2462,13776,1
704,24,33567256,3014,13356,2
672,28,32799013,2210,12869,1
691,27,35032596,2577,13223,1
762,24,38299779,2810,14203,0
535,10,27127288,2355,9960,4
566,18,27355089,2947,10843,0
784,12,39843962,2574,14909,0
663,11,33776448,1959,12602,0
772,25,39087821,2493,14604,2
766,29,39724222,2633,14562,0
627,27,32028654,2364,11957,1
542,27,27813629,2026,10161,0
657,17,33660186,2055,12581,0
